N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;;;;;
33;13;35;0,75;4;0,3;;;;;
34;13;35;0,75;4;0,3;;;;;
34;12;35;0,75;4;0,25;;;;;
34;12;35;0,75;4;0,16;;;;;
35;12;35;0,75;4;0,3;;;;;
36;15;28;0,75;22,7;0,3;;;;;
37;13;24;0,75;22,7;0,3;;;;;
38;13;36;0,75;22,7;0,3;;;;;
39;29;99;0,75;22,7;0,2;;;;;
40;27;21;0,75;22,7;0,2;;;;;
41;25;21;0,75;22,7;0,25;;;;;
42;27;31;0,75;22,7;0,3;;;;;
43;9;31;0,75;22,7;0,3;;;;;
44;19;44;0,75;22,7;0,3;;;;;
45;19;34;0,75;22,7;0,3;;;;;
46;37;106;0,75;22,7;0,2;;;;;
45;23;106;0,75;22,7;0,2;;;;;
46;23;106;0,75;22,7;0,2;;;;;
47;23;106;0,75;22,7;0,3;;;;;
48;24;119;0,75;22,7;;;;;;
49;36;18;0,75;22,7;;;;;;
50;20;30;0,50;22,7;;;;;;
47;53;68;1,00;6;;;;;;
48;53;68;1,00;6;;;;;;
49;53;68;1,00;6;;;;;;
50;53;68;1,00;6;;;;;;
51;53;68;1,00;6;;;;;;
52;45;65;1,00;6;;;;;;
53;51;99;1,00;6;;;;;;
54;62;109;1,00;6;;;;;;
55;41;68;0,50;3;;;;;;
56;41;68;1,00;3;;;;;;
57;48;78;1,00;3;;;;;;
58;12;50;0,75;8;;;;;;
59;23;50;0,75;8;;;;;;
60;20;50;0,75;8;;;;;;
61;27;50;0,75;8;;;;;;
62;20;40;0,75;8;;;;;;
63;17;40;0,75;8;;;;;;
64;24;40;0,75;8;;;;;;
65;10;40;0,75;8;;;;;;
66;10;35;0,75;8;;;;;;
67;22;35;0,75;8;;;;;;
68;19;35;0,75;6;;;;;;
69;16;35;0,75;6;;;;;;
70;19;50;0,75;6;;;;;;
71;16;40;0,75;6;;;;;;
72;15;35;0,75;6;;;;;;
73;29;27;0,75;6;;;;;;
74;6;9;0,75;6;;;;;;
75;10;16;0,75;6;;;;;;
76;21;29;0,75;6;;;;;;
77;8;29;0,75;6;;;;;;
78;28;75;0,75;6;;;;;;
79;7;15;0,75;6;;;;;;
80;30;19;0,75;6;;;;;;
81;20;17;0,75;6;;;;;;
82;26;101;0,25;6;;;;;;
83;41;101;1,00;24;;;;;;
84;25;101;1,00;24;;;;;;
85;45;101;1,00;24;;;;;;
86;50;120;1,00;24;;;;;;
87;40;124;1,00;24;;;;;;
88;66;63;0,50;24;;;;;;
